'naman', 'na', 'Antigua and Barbuda'
'nambh', 'na', 'Bahamas'
'namba', 'na', 'Barbados'
'nambe', 'na', 'Belize'
'namca', 'na', 'Canada'
'namco', 'na', 'Costa Rica'
'namcu', 'na', 'Cuba'
'namdo', 'na', 'Dominica'
'namdr', 'na', 'Dominican Republic'
'namel', 'na', 'El Salvador'
'namgr', 'na', 'Grenada'
'namgu', 'na', 'Guatemala'
'namha', 'na', 'Haiti'
'namho', 'na', 'Honduras'
'namja', 'na', 'Jamaica'
'namme', 'na', 'Mexico'
'namni', 'na', 'Nicaragua'
'nampa', 'na', 'Panama'
'namsk', 'na', 'Saint Kitts and Nevis'
'namsl', 'na', 'Saint Lucia'
'namsv', 'na', 'Saint Vincent and the Grenadines'
'namtt', 'na', 'Trinidad and Tobago'
'namus', 'na', 'United States of America'

