'afnal', 'af', 'Algeria'
'afneg', 'af', 'Egypt'
'afnli', 'af', 'Libya'
'afnmo', 'af', 'Morocco'
'afnsu', 'af', 'Sudan'
'afntu', 'af', 'Tunisia'
'afebu', 'af', 'Burundi'
'afeco', 'af', 'Comoros'
'afedj', 'af', 'Djibouti'
'afeer', 'af', 'Eritrea'
'afeet', 'af', 'Ethiopia'
'afeke', 'af', 'Kenya'
'afema', 'af', 'Madagascar'
'afemo', 'af', 'Mozambique'
'afemw', 'af', 'Malawi'
'afemr', 'af', 'Mauritius'
'aferw', 'af', 'Rwanda'
'afese', 'af', 'Seychelles'
'afeso', 'af', 'Somalia'
'afesu', 'af', 'South Sudan'
'afeta', 'af', 'Tanzania'
'afeug', 'af', 'Uganda'
'afeza', 'af', 'Zambia'
'afezi', 'af', 'Zimbabwe'
'afwbe', 'af', 'Benin'
'afwbu', 'af', 'Burkina Faso'
'afwca', 'af', 'Cabo Verde'
'afwga', 'af', 'Gambia'
'afwgh', 'af', 'Ghana'
'afwgu', 'af', 'Guinea'
'afwbi', 'af', 'Guinea Bissau'
'afwiv', 'af', 'Ivory Coast'
'afwli', 'af', 'Liberia'
'afwma', 'af', 'Mali'
'afwmu', 'af', 'Mauritania'
'afwni', 'af', 'Niger'
'afwna', 'af', 'Nigeria'
'afwse', 'af', 'Senegal'
'afwsi', 'af', 'Sierra Leone'
'afwto', 'af', 'Togo'
'afman', 'af', 'Angola'
'afmca', 'af', 'Cameroon'
'afmce', 'af', 'Central African Republic'
'afmch', 'af', 'Chad'
'afmco', 'af', 'Congo'
'afmdr', 'af', 'DR Congo'
'afmeq', 'af', 'Equatorial Guinea'
'afmga', 'af', 'Gabon'
'afmsa', 'af', 'Sao Tome and Principe'
'afsbo', 'af', 'Botswana'
'afses', 'af', 'Eswatini'
'afsle', 'af', 'Lesotho'
'afsna', 'af', 'Namibia'
'afsso', 'af', 'South Africa'
