'asnch', 'as', 'China'
'asnja', 'as', 'Japan'
'asnmo', 'as', 'Mongolia'
'asnnk', 'as', 'North Korea'
'asnsk', 'as', 'South Korea'
'asebr', 'as', 'Brunei'
'aseca', 'as', 'Cambodia'
'asein', 'as', 'Indonesia'
'asela', 'as', 'Laos'
'asema', 'as', 'Malaysia'
'asemy', 'as', 'Myanmar'
'aseph', 'as', 'Philippines'
'asesi', 'as', 'Singapore'
'aseth', 'as', 'Thailand'
'aseti', 'as', 'Timor Leste'
'asevi', 'as', 'Vietnam'
'assaf', 'as', 'Afghanistan'
'assba', 'as', 'Bangladesh'
'assbh', 'as', 'Bhutan'
'assin', 'as', 'India'
'assir', 'as', 'Iran'
'assma', 'as', 'Maldives'
'assne', 'as', 'Nepal'
'asspa', 'as', 'Pakistan'
'asssr', 'as', 'Sri Lanka'
'ascka', 'as', 'Kazakhstan'
'ascky', 'as', 'Kyrgyzstan'
'ascta', 'as', 'Tajikistan'
'asctu', 'as', 'Turkmenistan'
'ascuz', 'as', 'Uzbekistan'
'aswar', 'as', 'Armenia'
'aswaz', 'as', 'Azerbaijan'
'aswba', 'as', 'Bahrain'
'aswcy', 'as', 'Cyprus'
'aswge', 'as', 'Georgia'
'aswir', 'as', 'Iraq'
'aswis', 'as', 'Israel'
'aswjo', 'as', 'Jordan'
'aswku', 'as', 'Kuwait'
'aswle', 'as', 'Lebanon'
'aswom', 'as', 'Oman'
'aswqa', 'as', 'Qatar'
'aswsa', 'as', 'Saudi Arabia'
'aswst', 'as', 'State of Palestine'
'aswsy', 'as', 'Syria'
'aswtu', 'as', 'Turkey'
'aswun', 'as', 'United Arab Emirates'
'aswye', 'as', 'Yemen'
