'eunde', 'eu', 'Denmark'
'eunes', 'eu', 'Estonia'
'eunfi', 'eu', 'Finland'
'eunic', 'eu', 'Iceland'
'eunir', 'eu', 'Ireland'
'eunla', 'eu', 'Latvia'
'eunli', 'eu', 'Lithuania'
'eunno', 'eu', 'Norway'
'eunsw', 'eu', 'Sweden'
'eunun', 'eu', 'United Kingdom'
'euebe', 'eu', 'Belarus'
'euebu', 'eu', 'Bulgaria'
'euecz', 'eu', 'Czechia'
'euehu', 'eu', 'Hungary'
'euepo', 'eu', 'Poland'
'euere', 'eu', 'Republic of Moldova'
'euero', 'eu', 'Romania'
'eueru', 'eu', 'Russian Federation'
'euesl', 'eu', 'Slovakia'
'eueuk', 'eu', 'Ukraine'
'euwau', 'eu', 'Austria '
'euwbe', 'eu', 'Belgium '
'euwfr', 'eu', 'France'
'euwge', 'eu', 'Germany'
'euwli', 'eu', 'Liechtenstein'
'euwlu', 'eu', 'Luxembourg'
'euwmo', 'eu', 'Monaco'
'euwne', 'eu', 'Netherlands '
'euwsw', 'eu', 'Switzerland'
'eusal', 'eu', 'Albania'
'eusan', 'eu', 'Andorra'
'eusbo', 'eu', 'Bosnia and Herzegovina'
'euscr', 'eu', 'Croatia'
'eusgr', 'eu', 'Greece'
'eusit', 'eu', 'Italy'
'eusma', 'eu', 'Malta'
'eusmo', 'eu', 'Montenegro'
'eusno', 'eu', 'North Macedonia'
'euspo', 'eu', 'Portugal'
'eussa', 'eu', 'San Marino'
'eusse', 'eu', 'Serbia'
'eussl', 'eu', 'Slovenia'
'eussp', 'eu', 'Spain'
'eusva', 'eu', 'Vatican City'
'eutva', 'eu', 'Russia'
'eutva', 'eu', 'Turkey'
'eutva', 'eu', 'Kazakhstan'
'eutva', 'eu', 'Azerbaijan'
'eutva', 'eu', 'Georgia'
'eutva', 'eu', 'Armenia'
'eutva', 'eu', 'Cyprus'
