'usaab', 'us', 'Alabama'
'usaal', 'us', 'Alaska'
'usaar', 'us', 'Arizona'
'usaak', 'us', 'Arkansas'
'usaca', 'us', 'California'
'usaco', 'us', 'Colorado'
'usacn', 'us', 'Connecticut'
'usade', 'us', 'Delaware'
'usafl', 'us', 'Florida'
'usage', 'us', 'Georgia'
'usaha', 'us', 'Hawaii'
'usaid', 'us', 'Idaho'
'usail', 'us', 'Illinois'
'usain', 'us', 'Indiana'
'usaio', 'us', 'Iowa'
'usaka', 'us', 'Kansas'
'usake', 'us', 'Kentucky'
'usalo', 'us', 'Louisiana'
'usama', 'us', 'Maine'
'usamr', 'us', 'Maryland'
'usams', 'us', 'Massachusetts'
'usamc', 'us', 'Michigan'
'usamn', 'us', 'Minnesota'
'usams', 'us', 'Mississippi'
'usami', 'us', 'Missouri'
'usamo', 'us', 'Montana'
'usanb', 'us', 'Nebraska'
'usanv', 'us', 'Nevada'
'usanh', 'us', 'New Hampshire'
'usanj', 'us', 'New Jersey'
'usanm', 'us', 'New Mexico'
'usany', 'us', 'New York'
'usanc', 'us', 'North Carolina'
'usand', 'us', 'North Dakota'
'usaoh', 'us', 'Ohio'
'usaok', 'us', 'Oklahoma'
'usaor', 'us', 'Oregon'
'usape', 'us', 'Pennsylvania'
'usarh', 'us', 'Rhode Island'
'usasc', 'us', 'South Carolina'
'usasd', 'us', 'South Dakota'
'usate', 'us', 'Tennessee'
'usatx', 'us', 'Texas'
'usaut', 'us', 'Utah'
'usave', 'us', 'Vermont'
'usavi', 'us', 'Virginia'
'usawa', 'us', 'Washington'
'usawe', 'us', 'West Virginia'
'usawi', 'us', 'Wisconsin'
'usawy', 'us', 'Wyoming'
